ids,labels,parents
Misiones-Puerto Esperanza,Puerto Esperanza,NEA-Misiones
AMBA-Boedo,Boedo,Buenos Aires-AMBA
Cordoba-La Carlota,La Carlota,Centro-Cordoba
AMBA-avellaneda,avellaneda,Buenos Aires-AMBA
AMBA-Burzaco,Burzaco,Buenos Aires-AMBA
Corrientes-Gdor Virasoro,Gdor Virasoro,NEA-Corrientes
AMBA-Burzaco - Almirante Brown,Burzaco - Almirante Brown,Buenos Aires-AMBA
AMBA-Avellaneda,Avellaneda,Buenos Aires-AMBA
AMBA-Bella Vista,Bella Vista,Buenos Aires-AMBA
Cordoba-Cordoba Capital,Cordoba Capital,Centro-Cordoba
Buenos Aires-OLAVARRIA,OLAVARRIA,Pampa-Buenos Aires
Buenos Aires-MAR DEL PLATA,MAR DEL PLATA,Pampa-Buenos Aires
Salta-Cnel Moldes,Cnel Moldes,NOA-Salta
Salta-La Silleta,La Silleta,NOA-Salta
Salta-San Jose de Metan,San Jose de Metan,NOA-Salta
Salta-salta capital,salta capital,NOA-Salta
